,name,address,cuisine,picture,menu,reviews,promos,lat,lng,restaurant_id
82,Green Sky Fried Kway Teow (S14) @ Bedok Food Centre,"1 Bedok Road, 01-14",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3320394,103.9482807,83
83,Kenny Rogers Roasters,"10 Tampines Central 5, 02-20/27, Century Square",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3523888,103.9438567,84
84,KL Chilli Mee (S2) @ Gourmet Paradise Oasis Terrace,"681 Punggol Drive, 04-01",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.4050619,103.9087099,85
85,Dou (S4) @ 7 Stars Woodlands,"693 Woodlands Avenue 6, 01-10",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.4379932,103.8037955,86
86,Fatty Bom Bom,"214 Serangoon Avenue 4, 01-88, Serangoon green",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3569934,103.8735488,87
87,Halims Fish Soup (S12) @ The Food Market Century Square,"2 Tampines Central 5, 03-19 Century Square",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3523938,103.9435872,88
88,Fitra Chicken Rice (S18) @ Kopitiam Tampines Mall,"4 Tampines Central 5, 04-27/28/29, Tampines Mall",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3524573,103.9446726,89
89,Four Seasons Restaurant,"78 Airport Boulevard, B2-227 - 228",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3597284,103.9894248,90
90,Fusion Spoon,"102 Yuan Ching Road, 06-25, Jurong Lake Gardens (North Carpark)",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3368275,103.725102,91
91,Fusion Spoon,"1 Cluny Road, 06-25, National Parks Board",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3157058,103.8161825,92
92,Japanese & Korean (S11) @ Changi General Hospital,"2 Simei Street 3, 01-20, Changi General Hospital",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3401915,103.9495701,93
93,Japanese (S13) @ Cantine Jurong Point,"1 Jurong West Central 2, B1-42-44, Jurong Point",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3398573,103.7061357,94
94,Jollibee,"23 Serangoon Central, B1-28/29, NEX",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3503355,103.8730324,95
95,Kraft Kitchen,"820 Tampines Street 81, 01-526, Tampines Polyview",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3479324,103.9361065,96
96,Mala Hotpot (S17)  @ Kopitiam Tampines Mall,"4 Tampines Central 5, 04-27/28/29, Tampines Mall",,https://source.unsplash.com/user/mockupgraphics/200x200,,,,1.3524573,103.9446726,97
